# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=2
# for k=1.05328e-05 to 7.02536 h/Mpc,
# number of wavenumbers equal to 695
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_tot                  7:phi                    8:psi                
       1.003519306702e-02      -1.879688198009e+00      -2.940005414496e+02      -2.944638009281e+02      -1.856854925472e+00      -2.941351878003e+02       4.642137313679e-01       4.642137313679e-01 
       1.016432532270e-02      -1.872947286410e+00      -3.004989638235e+02      -3.009840721302e+02      -1.850195914571e+00      -3.006463453182e+02       4.625489786427e-01       4.625489786427e-01 
       1.029350283197e-02      -1.866223097045e+00      -3.070441937472e+02      -3.075519129079e+02      -1.843553429439e+00      -3.072049126546e+02       4.608883573599e-01       4.608883573599e-01 
       1.042272470066e-02      -1.859517659526e+00      -3.136357697316e+02      -3.141668433168e+02      -1.836929465509e+00      -3.138104131475e+02       4.592323663772e-01       4.592323663772e-01 
       1.055199009581e-02      -1.852830005285e+00      -3.202726989106e+02      -3.208279048361e+02      -1.830323055898e+00      -3.204618837977e+02       4.575807639745e-01       4.575807639745e-01 
       1.068129824257e-02      -1.846158312476e+00      -3.269538278774e+02      -3.275339740295e+02      -1.823732429681e+00      -3.271581975110e+02       4.559331074203e-01       4.559331074203e-01 
       1.081064842124e-02      -1.839505686272e+00      -3.336789439535e+02      -3.342848037071e+02      -1.817160640753e+00      -3.338991126622e+02       4.542901601883e-01       4.542901601883e-01 
       1.094003996464e-02      -1.832869931760e+00      -3.404468245035e+02      -3.410792330684e+02      -1.810605518730e+00      -3.406834598929e+02       4.526513796826e-01       4.526513796826e-01 
       1.106947225555e-02      -1.826253196625e+00      -3.472571150440e+02      -3.479168728545e+02      -1.804069175369e+00      -3.475108556732e+02       4.510172938423e-01       4.510172938423e-01 
       1.119894472444e-02      -1.819654671246e+00      -3.541088510655e+02      -3.547968087095e+02      -1.797550815943e+00      -3.543803786820e+02       4.493877039857e-01       4.493877039857e-01 
       1.132845684726e-02      -1.813072376388e+00      -3.610008719869e+02      -3.617178893766e+02      -1.791048504335e+00      -3.612908772263e+02       4.477621260837e-01       4.477621260837e-01 
       1.145800814347e-02      -1.806509183951e+00      -3.679329858332e+02      -3.686799249767e+02      -1.784565063330e+00      -3.682421612727e+02       4.461412658325e-01       4.461412658325e-01 
       1.158759817414e-02      -1.799963814842e+00      -3.749041767159e+02      -3.756819234081e+02      -1.778099229958e+00      -3.752332359062e+02       4.445248074896e-01       4.445248074896e-01 
       1.171722654026e-02      -1.793435666517e+00      -3.819135321704e+02      -3.827230194549e+02      -1.771650403279e+00      -3.822632293523e+02       4.429126008197e-01       4.429126008197e-01 
       1.184689288107e-02      -1.786926969100e+00      -3.889608270814e+02      -3.898029400246e+02      -1.765220784277e+00      -3.893318761904e+02       4.413051960691e-01       4.413051960691e-01 
       1.197659687257e-02      -1.780435887559e+00      -3.960448823762e+02      -3.969205685947e+02      -1.758808567228e+00      -3.964380511897e+02       4.397021418070e-01       4.397021418070e-01 
       1.210633822617e-02      -1.773962733726e+00      -4.031650572084e+02      -4.040752465773e+02      -1.752414067719e+00      -4.035810990874e+02       4.381035169298e-01       4.381035169298e-01 
       1.223611668733e-02      -1.767506671946e+00      -4.103204071269e+02      -4.112660809400e+02      -1.746036452291e+00      -4.107601196722e+02       4.365091130726e-01       4.365091130726e-01 
       1.236593203439e-02      -1.761067586010e+00      -4.175101770571e+02      -4.184923256065e+02      -1.739675608312e+00      -4.179743661302e+02       4.349189020780e-01       4.349189020780e-01 
       1.249578407744e-02      -1.754648557525e+00      -4.247344479963e+02      -4.257539961660e+02      -1.733334577713e+00      -4.252238641681e+02       4.333336444284e-01       4.333336444284e-01 
       1.262567265724e-02      -1.748246086001e+00      -4.319916013540e+02      -4.330495785456e+02      -1.727009901604e+00      -4.325070848525e+02       4.317524754010e-01       4.317524754010e-01 
       1.275559764434e-02      -1.741861787645e+00      -4.392813604448e+02      -4.403787643884e+02      -1.720703176756e+00      -4.398237250040e+02       4.301757941890e-01       4.301757941890e-01 
       1.288555893810e-02      -1.735495156461e+00      -4.466028918182e+02      -4.477407482058e+02      -1.714413902885e+00      -4.471729755110e+02       4.286034757214e-01       4.286034757214e-01 
