# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 4000,
# i.e. number of multipoles equal to 3999
#  l TT               EE               TE               BB               phiphi           Tphi             
 192 7.5177313899e-10 9.5140315102e-14 -3.5360870926e-12 0.0000000000e+00 1.7414765013e-12 -3.6191162992e-13
 193 7.5414828329e-10 9.4146494405e-14 -3.3916663304e-12 0.0000000000e+00 1.7147294306e-12 -3.5733170787e-13
 194 7.5644782218e-10 9.3223854578e-14 -3.2438625133e-12 0.0000000000e+00 1.6885080740e-12 -3.5279831210e-13
 195 7.5867101688e-10 9.2377091823e-14 -3.0927184906e-12 0.0000000000e+00 1.6628006840e-12 -3.4832663353e-13
 196 7.6081713709e-10 9.1611006057e-14 -2.9382798871e-12 0.0000000000e+00 1.6375940297e-12 -3.4393235083e-13
 197 7.6288546475e-10 9.0930422337e-14 -2.7805932751e-12 0.0000000000e+00 1.6128746651e-12 -3.3962757157e-13
 198 7.6487530525e-10 9.0339946902e-14 -2.6197004693e-12 0.0000000000e+00 1.5886328847e-12 -3.3540831480e-13
 199 7.6678597722e-10 8.9844195050e-14 -2.4556438825e-12 0.0000000000e+00 1.5648590092e-12 -3.3126612592e-13
 200 7.6861680921e-10 8.9447869649e-14 -2.2884683801e-12 0.0000000000e+00 1.5415420986e-12 -3.2719205193e-13
 201 7.7036713978e-10 8.9155761778e-14 -2.1182213086e-12 0.0000000000e+00 1.5186699324e-12 -3.2317663436e-13
 202 7.7203633239e-10 8.8972740761e-14 -1.9449535661e-12 0.0000000000e+00 1.4962302415e-12 -3.1921178275e-13
 203 7.7362382101e-10 8.8903722123e-14 -1.7687228360e-12 0.0000000000e+00 1.4742145456e-12 -3.1529655829e-13
 204 7.7512906800e-10 8.8953698597e-14 -1.5895906391e-12 0.0000000000e+00 1.4526145495e-12 -3.1143178810e-13
 205 7.7655154985e-10 8.9127751142e-14 -1.4076213449e-12 0.0000000000e+00 1.4314208981e-12 -3.0761822002e-13
 206 7.7789075735e-10 8.9431049556e-14 -1.2228822035e-12 0.0000000000e+00 1.4106231599e-12 -3.0385652106e-13
