z	chi_Mpc	D_M_Mpc	D_A_Mpc	H_1perMpc
2.5700	6041.722031899	6039.612167825	1691.768114237	2.438289063239e-04
2.5800	6053.189417766	6051.067517947	1690.242323449	2.441228320869e-04
2.5900	6064.611052982	6062.477120029	1688.712289702	2.444166699419e-04
2.6000	6075.987229210	6073.841265884	1687.178129412	2.447104176861e-04
2.6100	6087.318235667	6085.160244879	1685.639957030	2.450040724530e-04
2.6200	6098.604359143	6096.434343949	1684.097885069	2.452976317673e-04
2.6300	6109.845884019	6107.663847618	1682.552024137	2.455910931979e-04
2.6400	6121.043092290	6118.849038026	1681.002482974	2.458844541752e-04
2.6500	6132.196263600	6129.990194957	1679.449368481	2.461777127102e-04
2.6600	6143.305675237	6141.087595835	1677.892785747	2.464708663614e-04
2.6700	6154.371602186	6152.141515782	1676.332838088	2.467639127914e-04
2.6800	6165.394317145	6163.152227631	1674.769627074	2.470568497943e-04
2.6900	6176.374090542	6174.120001941	1673.203252559	2.473496751811e-04
2.7000	6187.311190560	6185.045107027	1671.633812710	2.476423867253e-04
2.7100	6198.205883163	6195.927808981	1670.061404038	2.479349827030e-04
2.7200	6209.058432099	6206.768371676	1668.486121418	2.482274609023e-04
2.7300	6219.869098945	6217.567056815	1666.908058127	2.485198192886e-04
2.7400	6230.638143123	6228.324123943	1665.327305867	2.488120558841e-04
2.7500	6241.365821916	6239.039830464	1663.743954790	2.491041687823e-04
2.7600	6252.052390492	6249.714431665	1662.158093528	2.493961560216e-04
2.7700	6262.698101930	6260.348180744	1660.569809216	2.496880160451e-04
2.7800	6273.303207216	6270.941328801	1658.979187513	2.499797469649e-04
2.7900	6283.867955294	6281.494124895	1657.386312637	2.502713469419e-04
2.8000	6294.392593075	6292.006816050	1655.791267382	2.505628142667e-04
2.8100	6304.877365455	6302.479647272	1654.194133142	2.508541472406e-04
2.8200	6315.322515336	6312.912861573	1652.594989941	2.511453441582e-04
2.8300	6325.728283652	6323.306699993	1650.993916447	2.514364035034e-04
2.8400	6336.094909361	6333.661401599	1649.390990000	2.517273238712e-04
2.8500	6346.422629500	6343.977203529	1647.786286631	2.520181034862e-04
2.8600	6356.711679185	6354.254341004	1646.179881089	2.523087408449e-04
2.8700	6366.962291636	6364.493047344	1644.571846859	2.525992344988e-04
2.8800	6377.174698190	6374.693553987	1642.962256182	2.528895830174e-04
2.8900	6387.349128328	6384.856090513	1641.351180080	2.531797848039e-04
2.9000	6397.485809676	6394.980884642	1639.738688370	2.534698389120e-04
2.9100	6407.584968036	6405.068162272	1638.124849686	2.537597436787e-04
2.9200	6417.646827404	6415.118147495	1636.509731504	2.540494977959e-04
2.9300	6427.671609989	6425.131062610	1634.893400155	2.543390999841e-04
2.9400	6437.659536221	6435.107128141	1633.275920848	2.546285489755e-04
2.9500	6447.610824781	6445.046562854	1631.657357685	2.549178432874e-04
2.9600	6457.525692603	6454.949583777	1630.037773681	2.552069823574e-04
2.9700	6467.404354894	6464.816406199	1628.417230781	2.554959645248e-04
2.9800	6477.247025161	6474.647243715	1626.795789878	2.557847886754e-04
2.9900	6487.053915222	6484.442308227	1625.173510834	2.560734536900e-04
3.0000	6496.825235222	6494.201809962	1623.550452490	2.563619584722e-04
